,Пол,Семейное_положение,Возраст,Высшее_образование,Профессия,Опыт_работы,Уровень_расходов,Размер_семьи,Анонимная_категория,Целевая_категория
0,0,1.0,67,1.0,4.0,1.0,3,1.0,6.0,2
5,0,0.0,26,1.0,4.0,1.0,3,3.0,6.0,1
6,1,0.0,19,0.0,2.0,4.0,3,4.0,4.0,4
7,0,1.0,58,0.0,5.0,0.0,3,1.0,3.0,2
8,0,0.0,41,0.0,2.0,1.0,3,2.0,1.0,3
9,0,0.0,32,0.0,9.0,9.0,3,5.0,3.0,4
10,1,0.0,31,0.0,2.0,1.0,3,6.0,6.0,2
11,1,1.0,58,1.0,3.0,1.0,2,4.0,6.0,2
12,0,1.0,79,1.0,1.0,0.0,1,1.0,6.0,3
13,1,1.0,49,1.0,9.0,12.0,3,1.0,3.0,1
14,1,1.0,33,1.0,1.0,13.0,3,2.0,3.0,1
15,0,0.0,36,1.0,1.0,5.0,3,2.0,6.0,2
16,1,1.0,56,0.0,1.0,1.0,2,3.0,6.0,3
17,1,0.0,31,0.0,2.0,9.0,3,8.0,4.0,1
18,0,0.0,35,0.0,1.0,5.0,3,4.0,6.0,3
19,0,1.0,45,1.0,1.0,0.0,3,3.0,6.0,3
20,0,1.0,42,0.0,5.0,1.0,3,2.0,4.0,1
21,1,0.0,19,0.0,2.0,1.0,3,3.0,2.0,4
22,0,1.0,83,0.0,6.0,1.0,1,2.0,6.0,4
23,0,0.0,27,1.0,2.0,3.0,3,4.0,1.0,4
24,1,0.0,32,0.0,5.0,5.0,3,1.0,4.0,4
25,0,1.0,28,0.0,2.0,1.0,2,5.0,3.0,4
26,0,1.0,28,1.0,1.0,8.0,3,2.0,6.0,1
27,0,0.0,47,1.0,1.0,4.0,3,1.0,6.0,2
28,0,0.0,22,0.0,2.0,0.0,3,2.0,6.0,4
29,0,0.0,27,1.0,1.0,14.0,3,3.0,6.0,1
30,1,1.0,40,0.0,4.0,8.0,3,1.0,6.0,1
31,1,1.0,41,1.0,1.0,0.0,2,4.0,4.0,2
32,0,0.0,45,1.0,4.0,1.0,3,1.0,6.0,1
33,0,1.0,61,0.0,1.0,1.0,2,2.0,2.0,2
34,1,1.0,40,1.0,1.0,1.0,3,1.0,3.0,1
35,0,1.0,57,1.0,3.0,0.0,2,2.0,6.0,3
36,1,1.0,76,0.0,8.0,1.0,3,1.0,4.0,1
37,1,1.0,32,1.0,1.0,14.0,2,2.0,6.0,2
38,1,0.0,25,1.0,2.0,9.0,3,4.0,6.0,4
39,0,1.0,45,1.0,1.0,1.0,2,3.0,3.0,3
40,1,1.0,74,1.0,6.0,0.0,1,3.0,6.0,4
41,1,1.0,56,1.0,6.0,1.0,1,2.0,6.0,1
42,1,1.0,59,1.0,6.0,7.0,1,2.0,6.0,1
43,1,0.0,25,1.0,3.0,0.0,3,2.0,6.0,1
44,1,1.0,31,1.0,5.0,0.0,2,2.0,6.0,1
45,1,0.0,27,0.0,1.0,8.0,3,4.0,6.0,1
46,1,1.0,57,1.0,1.0,0.0,2,4.0,6.0,2
47,1,1.0,27,1.0,2.0,8.0,3,2.0,6.0,4
48,0,1.0,51,1.0,3.0,8.0,2,2.0,6.0,1
49,0,1.0,47,0.0,1.0,0.0,2,5.0,6.0,2
50,0,0.0,33,0.0,2.0,8.0,3,4.0,6.0,4
51,0,0.0,33,0.0,9.0,0.0,3,3.0,6.0,2
52,0,0.0,36,1.0,5.0,0.0,3,2.0,6.0,4
53,1,1.0,51,0.0,1.0,4.0,3,3.0,4.0,1
54,1,1.0,45,1.0,4.0,2.0,2,2.0,6.0,3
55,1,0.0,30,0.0,2.0,0.0,3,4.0,6.0,3
56,0,0.0,26,0.0,2.0,6.0,3,3.0,5.0,4
57,1,1.0,63,1.0,1.0,8.0,3,1.0,6.0,1
58,1,1.0,35,0.0,3.0,8.0,2,4.0,3.0,2
59,0,0.0,19,0.0,8.0,1.0,3,3.0,4.0,1
60,1,0.0,32,0.0,2.0,7.0,3,5.0,6.0,4
61,1,1.0,52,1.0,1.0,0.0,2,3.0,6.0,3
62,0,1.0,36,1.0,1.0,5.0,3,2.0,6.0,3
63,0,0.0,42,0.0,3.0,7.0,3,3.0,4.0,4
64,1,1.0,40,0.0,5.0,0.0,2,2.0,3.0,4
65,1,0.0,39,1.0,3.0,0.0,3,3.0,1.0,2
66,0,1.0,47,1.0,1.0,1.0,2,4.0,3.0,3
67,0,1.0,61,1.0,1.0,1.0,1,2.0,6.0,3
68,1,1.0,32,0.0,3.0,1.0,3,2.0,3.0,4
69,1,1.0,55,0.0,1.0,0.0,3,1.0,6.0,2
70,0,0.0,38,1.0,1.0,0.0,3,1.0,6.0,4
71,1,1.0,63,1.0,1.0,0.0,1,2.0,6.0,3
72,1,1.0,58,1.0,5.0,1.0,2,2.0,6.0,3
73,1,1.0,30,0.0,4.0,3.0,2,3.0,4.0,4
74,1,1.0,60,1.0,1.0,0.0,2,4.0,6.0,3
75,1,1.0,68,0.0,7.0,1.0,1,7.0,6.0,2
76,1,1.0,52,0.0,1.0,0.0,3,3.0,4.0,1
77,1,1.0,38,0.0,7.0,0.0,1,5.0,6.0,1
78,0,1.0,35,1.0,2.0,10.0,3,2.0,6.0,2
79,1,0.0,18,0.0,5.0,1.0,3,2.0,6.0,4
80,1,1.0,30,1.0,9.0,3.0,3,2.0,1.0,4
81,1,0.0,86,0.0,6.0,1.0,3,1.0,6.0,4
82,1,0.0,25,0.0,2.0,9.0,3,3.0,6.0,4
83,1,0.0,47,1.0,1.0,1.0,3,1.0,6.0,3
84,1,1.0,43,1.0,7.0,0.0,1,3.0,6.0,4
85,1,1.0,36,0.0,7.0,8.0,2,4.0,1.0,2
86,1,1.0,80,0.0,6.0,1.0,3,1.0,6.0,4
87,1,0.0,36,1.0,1.0,0.0,3,2.0,2.0,3
