,Пол,Семейное_положение,Возраст,Высшее_образование,Профессия,Опыт_работы,Уровень_расходов,Размер_семьи,Анонимная_категория,Целевая_категория
1,0,1.0,67,1.0,4.0,1.0,3,1.0,6.0,2
2,1,1.0,67,1.0,6.0,0.0,1,2.0,6.0,2
3,1,1.0,56,0.0,1.0,0.0,2,2.0,6.0,3
4,1,0.0,32,1.0,2.0,1.0,3,3.0,6.0,3
6,0,1.0,61,1.0,4.0,0.0,3,3.0,7.0,4
8,0,0.0,26,1.0,4.0,1.0,3,3.0,6.0,1
9,1,0.0,19,0.0,2.0,4.0,3,4.0,4.0,4
10,0,1.0,58,0.0,5.0,0.0,3,1.0,3.0,2
11,0,0.0,41,0.0,2.0,1.0,3,2.0,1.0,3
12,0,0.0,32,0.0,9.0,9.0,3,5.0,3.0,4
13,1,0.0,31,0.0,2.0,1.0,3,6.0,6.0,2
14,1,1.0,58,1.0,3.0,1.0,2,4.0,6.0,2
15,0,1.0,79,1.0,1.0,0.0,1,1.0,6.0,3
16,1,1.0,49,1.0,9.0,12.0,3,1.0,3.0,1
18,1,1.0,33,1.0,1.0,13.0,3,2.0,3.0,1
19,0,0.0,36,1.0,1.0,5.0,3,2.0,6.0,2
20,1,1.0,56,0.0,1.0,1.0,2,3.0,6.0,3
21,1,0.0,31,0.0,2.0,9.0,3,8.0,4.0,1
24,0,0.0,35,0.0,1.0,5.0,3,4.0,6.0,3
25,0,1.0,45,1.0,1.0,0.0,3,3.0,6.0,3
26,0,1.0,42,0.0,5.0,1.0,3,2.0,4.0,1
27,1,0.0,19,0.0,2.0,1.0,3,3.0,2.0,4
28,0,1.0,83,0.0,6.0,1.0,1,2.0,6.0,4
29,0,0.0,27,1.0,2.0,3.0,3,4.0,1.0,4
30,1,0.0,32,0.0,5.0,5.0,3,1.0,4.0,4
31,0,1.0,28,0.0,2.0,1.0,2,5.0,3.0,4
32,0,1.0,28,1.0,1.0,8.0,3,2.0,6.0,1
33,0,0.0,47,1.0,1.0,4.0,3,1.0,6.0,2
34,0,0.0,22,0.0,2.0,0.0,3,2.0,6.0,4
35,0,0.0,27,1.0,1.0,14.0,3,3.0,6.0,1
36,1,1.0,40,0.0,4.0,8.0,3,1.0,6.0,1
37,1,1.0,41,1.0,1.0,0.0,2,4.0,4.0,2
39,0,0.0,45,1.0,4.0,1.0,3,1.0,6.0,1
40,0,1.0,61,0.0,1.0,1.0,2,2.0,2.0,2
42,1,1.0,40,1.0,1.0,1.0,3,1.0,3.0,1
43,0,1.0,57,1.0,3.0,0.0,2,2.0,6.0,3
44,1,1.0,76,0.0,8.0,1.0,3,1.0,4.0,1
45,1,1.0,32,1.0,1.0,14.0,2,2.0,6.0,2
46,1,0.0,25,1.0,2.0,9.0,3,4.0,6.0,4
47,0,1.0,45,1.0,1.0,1.0,2,3.0,3.0,3
50,1,1.0,74,1.0,6.0,0.0,1,3.0,6.0,4
51,1,1.0,56,1.0,6.0,1.0,1,2.0,6.0,1
52,1,1.0,59,1.0,6.0,7.0,1,2.0,6.0,1
53,1,0.0,25,1.0,3.0,0.0,3,2.0,6.0,1
54,1,1.0,31,1.0,5.0,0.0,2,2.0,6.0,1
55,1,0.0,27,0.0,1.0,8.0,3,4.0,6.0,1
56,1,1.0,57,1.0,1.0,0.0,2,4.0,6.0,2
57,1,1.0,27,1.0,2.0,8.0,3,2.0,6.0,4
58,0,1.0,51,1.0,3.0,8.0,2,2.0,6.0,1
59,0,1.0,47,0.0,1.0,0.0,2,5.0,6.0,2
60,0,0.0,33,0.0,2.0,8.0,3,4.0,6.0,4
62,0,0.0,33,0.0,9.0,0.0,3,3.0,6.0,2
63,0,0.0,36,1.0,5.0,0.0,3,2.0,6.0,4
64,1,1.0,51,0.0,1.0,4.0,3,3.0,4.0,1
65,1,1.0,45,1.0,4.0,2.0,2,2.0,6.0,3
66,1,0.0,30,0.0,2.0,0.0,3,4.0,6.0,3
67,0,0.0,26,0.0,2.0,6.0,3,3.0,5.0,4
68,1,1.0,63,1.0,1.0,8.0,3,1.0,6.0,1
69,1,1.0,35,0.0,3.0,8.0,2,4.0,3.0,2
