,Пол,Семейное_положение,Возраст,Высшее_образование,Профессия,Опыт_работы,Уровень_расходов,Размер_семьи,Анонимная_категория,Целевая_категория
4714,1,0.0,18,0.0,5.0,4.0,3,2.0,6.0,1
259,1,1.0,18,0.0,7.0,0.0,1,4.0,6.0,1
84,0,0.0,19,0.0,8.0,1.0,3,3.0,4.0,1
357,1,0.0,19,0.0,8.0,0.0,3,5.0,6.0,1
2797,1,0.0,19,0.0,3.0,0.0,3,6.0,4.0,1
4185,1,0.0,19,0.0,1.0,10.0,3,3.0,6.0,1
7767,0,0.0,19,1.0,1.0,0.0,3,2.0,6.0,1
7845,0,0.0,19,0.0,5.0,6.0,3,2.0,3.0,1
3219,1,1.0,19,0.0,7.0,0.0,1,3.0,4.0,1
4726,1,1.0,19,0.0,3.0,1.0,3,2.0,6.0,1
2559,0,0.0,20,0.0,5.0,9.0,3,4.0,6.0,1
5822,0,0.0,20,0.0,8.0,0.0,1,2.0,3.0,1
358,0,1.0,20,1.0,6.0,1.0,2,3.0,3.0,1
1240,1,1.0,20,1.0,8.0,1.0,2,3.0,3.0,1
187,0,0.0,21,0.0,5.0,1.0,3,3.0,7.0,1
2032,1,0.0,21,0.0,9.0,0.0,3,4.0,3.0,1
6285,1,0.0,21,0.0,5.0,0.0,3,3.0,6.0,1
1339,0,0.0,22,0.0,3.0,0.0,3,3.0,3.0,1
2166,0,0.0,22,0.0,5.0,1.0,3,3.0,3.0,1
3613,1,0.0,22,0.0,8.0,4.0,3,3.0,6.0,1
5752,1,0.0,22,0.0,8.0,1.0,3,3.0,6.0,1
1637,1,1.0,22,0.0,5.0,1.0,3,4.0,6.0,1
4635,1,1.0,22,0.0,5.0,1.0,3,4.0,6.0,1
6879,1,1.0,23,0.0,7.0,1.0,1,9.0,6.0,1
65,1,0.0,25,1.0,3.0,0.0,3,2.0,6.0,1
363,1,0.0,25,1.0,3.0,1.0,3,2.0,6.0,1
367,1,0.0,25,0.0,7.0,12.0,3,3.0,6.0,1
382,0,0.0,25,1.0,1.0,0.0,3,6.0,6.0,1
988,1,0.0,25,0.0,7.0,3.0,3,1.0,4.0,1
1036,1,0.0,25,0.0,8.0,0.0,3,2.0,4.0,1
1228,0,0.0,25,1.0,4.0,8.0,3,2.0,6.0,1
1344,1,0.0,25,0.0,3.0,3.0,3,1.0,4.0,1
1421,0,0.0,25,1.0,2.0,5.0,3,3.0,3.0,1
1435,1,0.0,25,1.0,1.0,7.0,3,1.0,2.0,1
1490,1,0.0,25,1.0,1.0,1.0,3,4.0,6.0,1
1583,0,0.0,25,1.0,8.0,2.0,3,4.0,4.0,1
2259,1,0.0,25,0.0,9.0,14.0,3,3.0,5.0,1
2522,0,0.0,25,0.0,2.0,1.0,3,3.0,6.0,1
2650,1,0.0,25,0.0,7.0,0.0,3,3.0,6.0,1
3307,1,0.0,25,0.0,8.0,0.0,3,3.0,3.0,1
3380,1,0.0,25,0.0,4.0,0.0,3,3.0,6.0,1
3521,1,0.0,25,1.0,1.0,2.0,3,1.0,6.0,1
3855,1,0.0,25,0.0,5.0,9.0,3,4.0,6.0,1
3915,1,0.0,25,1.0,8.0,8.0,3,3.0,6.0,1
4197,1,0.0,25,1.0,1.0,9.0,3,3.0,6.0,1
4832,0,0.0,25,1.0,2.0,9.0,3,2.0,4.0,1
4881,1,0.0,25,1.0,3.0,9.0,3,1.0,2.0,1
5284,0,0.0,25,1.0,5.0,0.0,3,1.0,4.0,1
5589,0,0.0,25,1.0,4.0,0.0,3,2.0,3.0,1
5705,1,0.0,25,1.0,1.0,0.0,3,1.0,6.0,1
5728,1,0.0,25,0.0,3.0,13.0,3,3.0,6.0,1
5994,1,0.0,25,1.0,1.0,13.0,3,3.0,6.0,1
6029,1,0.0,25,1.0,5.0,7.0,3,1.0,6.0,1
6148,0,0.0,25,0.0,4.0,1.0,3,1.0,4.0,1
6362,0,0.0,25,0.0,5.0,1.0,3,4.0,4.0,1
6530,0,0.0,25,1.0,1.0,2.0,3,2.0,6.0,1
6571,1,0.0,25,1.0,3.0,1.0,3,3.0,6.0,1
6675,0,0.0,25,1.0,3.0,9.0,3,2.0,6.0,1
7115,0,0.0,25,0.0,4.0,1.0,3,1.0,6.0,1
7224,0,0.0,25,1.0,5.0,3.0,3,1.0,6.0,1
7366,1,0.0,25,1.0,1.0,1.0,3,3.0,6.0,1
7403,1,0.0,25,1.0,3.0,7.0,3,3.0,6.0,1
7640,0,0.0,25,0.0,8.0,1.0,3,2.0,3.0,1
7726,0,0.0,25,1.0,1.0,13.0,3,1.0,6.0,1
7809,1,0.0,25,0.0,3.0,0.0,3,3.0,6.0,1
242,0,1.0,25,1.0,2.0,1.0,1,4.0,4.0,1
297,1,1.0,25,0.0,5.0,1.0,3,2.0,1.0,1
653,1,1.0,25,1.0,7.0,1.0,1,2.0,6.0,1
706,0,1.0,25,0.0,4.0,0.0,2,2.0,4.0,1
723,1,1.0,25,1.0,3.0,8.0,2,2.0,6.0,1
986,1,1.0,25,1.0,3.0,1.0,2,2.0,6.0,1
1075,1,1.0,25,0.0,3.0,2.0,3,2.0,4.0,1
1542,0,1.0,25,1.0,3.0,0.0,2,2.0,1.0,1
2005,0,1.0,25,0.0,4.0,1.0,2,2.0,4.0,1
2651,1,1.0,25,1.0,1.0,8.0,3,2.0,7.0,1
3211,1,1.0,25,0.0,7.0,0.0,1,3.0,1.0,1
3720,1,1.0,25,0.0,3.0,1.0,2,2.0,4.0,1
3983,0,1.0,25,1.0,9.0,9.0,2,2.0,4.0,1
5322,1,1.0,25,1.0,5.0,0.0,2,2.0,6.0,1
5856,1,1.0,25,1.0,3.0,1.0,3,2.0,6.0,1
6135,1,1.0,25,1.0,1.0,6.0,3,1.0,6.0,1
6253,1,1.0,25,1.0,1.0,8.0,3,1.0,6.0,1
6296,1,1.0,25,1.0,1.0,12.0,3,2.0,6.0,1
6452,0,1.0,25,1.0,4.0,6.0,2,2.0,6.0,1
6558,1,1.0,25,1.0,4.0,6.0,3,2.0,7.0,1
6741,1,1.0,25,1.0,7.0,8.0,1,2.0,6.0,1
10,0,0.0,26,1.0,4.0,1.0,3,3.0,6.0,1
151,0,0.0,26,0.0,4.0,0.0,3,1.0,2.0,1
287,1,0.0,26,1.0,2.0,1.0,3,2.0,3.0,1
390,0,0.0,26,1.0,1.0,9.0,3,1.0,6.0,1
640,0,0.0,26,0.0,8.0,3.0,3,3.0,3.0,1
727,0,0.0,26,0.0,4.0,0.0,3,1.0,6.0,1
964,1,0.0,26,0.0,2.0,0.0,3,7.0,6.0,1
976,0,0.0,26,1.0,1.0,1.0,3,3.0,2.0,1
1141,1,0.0,26,1.0,1.0,1.0,3,3.0,4.0,1
1453,0,0.0,26,0.0,1.0,0.0,3,3.0,4.0,1
1886,0,0.0,26,0.0,4.0,4.0,3,1.0,7.0,1
2745,1,0.0,26,1.0,9.0,8.0,3,2.0,6.0,1
2786,0,0.0,26,1.0,1.0,1.0,3,5.0,6.0,1
2965,0,0.0,26,1.0,4.0,9.0,3,8.0,6.0,1
3078,0,0.0,26,0.0,4.0,1.0,3,2.0,6.0,1
3181,1,0.0,26,1.0,1.0,1.0,3,2.0,6.0,1
3644,0,0.0,26,0.0,4.0,1.0,3,4.0,4.0,1
3687,0,0.0,26,1.0,8.0,0.0,3,2.0,3.0,1
4138,1,0.0,26,0.0,5.0,1.0,3,1.0,6.0,1
4169,1,0.0,26,0.0,5.0,0.0,3,4.0,6.0,1
4189,0,0.0,26,0.0,4.0,1.0,3,6.0,6.0,1
4320,1,0.0,26,1.0,5.0,4.0,3,3.0,2.0,1
4666,0,0.0,26,1.0,2.0,0.0,3,4.0,2.0,1
4710,0,0.0,26,0.0,4.0,5.0,3,2.0,6.0,1
5145,1,0.0,26,0.0,3.0,1.0,3,2.0,6.0,1
5554,0,0.0,26,1.0,1.0,2.0,3,2.0,6.0,1
5693,0,0.0,26,0.0,9.0,9.0,3,2.0,6.0,1
5867,0,0.0,26,0.0,2.0,0.0,3,6.0,5.0,1
6048,1,0.0,26,0.0,2.0,1.0,3,6.0,4.0,1
6247,0,0.0,26,0.0,9.0,0.0,3,6.0,3.0,1
6300,0,0.0,26,1.0,1.0,9.0,3,1.0,6.0,1
6442,0,0.0,26,1.0,1.0,0.0,3,1.0,6.0,1
6550,1,0.0,26,0.0,3.0,0.0,3,2.0,6.0,1
6695,1,0.0,26,0.0,2.0,1.0,3,4.0,3.0,1
6727,1,0.0,26,0.0,1.0,8.0,3,5.0,5.0,1
7027,0,0.0,26,0.0,4.0,0.0,3,5.0,5.0,1
7066,1,0.0,26,1.0,1.0,0.0,3,4.0,4.0,1
7389,1,0.0,26,1.0,5.0,1.0,3,2.0,6.0,1
679,1,1.0,26,1.0,5.0,1.0,2,2.0,7.0,1
683,1,1.0,26,1.0,3.0,0.0,2,3.0,3.0,1
2102,0,1.0,26,0.0,8.0,7.0,1,3.0,4.0,1
2975,0,1.0,26,0.0,3.0,1.0,2,2.0,4.0,1
3655,1,1.0,26,0.0,9.0,9.0,2,2.0,6.0,1
3954,1,1.0,26,0.0,1.0,7.0,3,4.0,4.0,1
4244,1,1.0,26,0.0,1.0,3.0,3,2.0,6.0,1
4774,1,1.0,26,1.0,1.0,6.0,2,2.0,6.0,1
4845,0,1.0,26,0.0,4.0,7.0,3,2.0,6.0,1
6052,1,1.0,26,1.0,1.0,5.0,2,2.0,6.0,1
6834,0,1.0,26,0.0,9.0,9.0,2,2.0,3.0,1
7053,1,1.0,26,0.0,5.0,9.0,2,2.0,6.0,1
7506,1,1.0,26,0.0,1.0,1.0,3,4.0,6.0,1
7723,1,1.0,26,0.0,1.0,0.0,3,2.0,6.0,1
42,0,0.0,27,1.0,1.0,14.0,3,3.0,6.0,1
67,1,0.0,27,0.0,1.0,8.0,3,4.0,6.0,1
337,1,0.0,27,1.0,2.0,0.0,3,2.0,6.0,1
427,0,0.0,27,1.0,5.0,1.0,3,3.0,6.0,1
655,1,0.0,27,1.0,8.0,1.0,3,2.0,3.0,1
936,0,0.0,27,0.0,2.0,0.0,3,3.0,6.0,1
1731,1,0.0,27,0.0,5.0,0.0,3,3.0,2.0,1
1964,0,0.0,27,1.0,1.0,8.0,3,1.0,6.0,1
1993,1,0.0,27,1.0,1.0,3.0,3,1.0,2.0,1
2514,1,0.0,27,0.0,2.0,1.0,3,3.0,3.0,1
2738,1,0.0,27,1.0,3.0,1.0,3,2.0,6.0,1
2768,0,0.0,27,1.0,3.0,1.0,3,1.0,6.0,1
3283,1,0.0,27,1.0,5.0,0.0,3,2.0,3.0,1
3305,0,0.0,27,0.0,4.0,1.0,3,1.0,5.0,1
3565,0,0.0,27,1.0,2.0,1.0,3,7.0,2.0,1
4105,1,0.0,27,1.0,1.0,1.0,3,3.0,6.0,1
4259,0,0.0,27,0.0,4.0,1.0,3,1.0,4.0,1
4476,1,0.0,27,1.0,5.0,1.0,3,1.0,4.0,1
4509,1,0.0,27,0.0,3.0,0.0,3,3.0,3.0,1
4665,0,0.0,27,0.0,5.0,1.0,3,3.0,3.0,1
5219,0,0.0,27,0.0,4.0,1.0,3,1.0,4.0,1
5385,0,0.0,27,1.0,1.0,0.0,3,3.0,7.0,1
5733,0,0.0,27,0.0,5.0,0.0,3,3.0,7.0,1
5919,0,0.0,27,0.0,4.0,1.0,3,4.0,5.0,1
5968,1,0.0,27,1.0,2.0,2.0,3,4.0,1.0,1
6024,1,0.0,27,1.0,3.0,9.0,3,1.0,6.0,1
6204,0,0.0,27,1.0,2.0,0.0,3,5.0,4.0,1
6221,0,0.0,27,0.0,2.0,9.0,3,2.0,6.0,1
6699,0,0.0,27,0.0,5.0,0.0,3,5.0,3.0,1
6892,0,0.0,27,1.0,5.0,8.0,3,1.0,6.0,1
7267,0,0.0,27,1.0,8.0,12.0,3,3.0,6.0,1
7304,0,0.0,27,0.0,2.0,0.0,3,4.0,3.0,1
7538,0,0.0,27,0.0,9.0,9.0,3,1.0,4.0,1
7591,0,0.0,27,0.0,4.0,1.0,3,7.0,4.0,1
7927,0,0.0,27,0.0,2.0,9.0,3,5.0,7.0,1
125,0,1.0,27,0.0,8.0,1.0,3,2.0,6.0,1
596,1,1.0,27,0.0,3.0,0.0,2,4.0,6.0,1
1400,1,1.0,27,0.0,7.0,10.0,1,3.0,6.0,1
1459,1,1.0,27,0.0,3.0,10.0,2,3.0,6.0,1
1945,0,1.0,27,1.0,8.0,11.0,2,2.0,6.0,1
1975,1,1.0,27,1.0,7.0,11.0,1,2.0,6.0,1
2548,0,1.0,27,1.0,9.0,11.0,2,2.0,6.0,1
2780,1,1.0,27,1.0,2.0,2.0,2,2.0,3.0,1
3014,1,1.0,27,0.0,3.0,6.0,3,4.0,6.0,1
4777,0,1.0,27,1.0,4.0,0.0,2,4.0,7.0,1
4923,0,1.0,27,0.0,9.0,9.0,2,2.0,6.0,1
5051,0,1.0,27,0.0,1.0,9.0,3,2.0,6.0,1
5779,0,1.0,27,0.0,1.0,6.0,1,5.0,2.0,1
5955,1,1.0,27,0.0,3.0,0.0,3,1.0,4.0,1
6158,1,1.0,27,0.0,3.0,14.0,2,2.0,6.0,1
6848,1,1.0,27,1.0,5.0,9.0,2,2.0,6.0,1
7049,1,1.0,27,1.0,1.0,4.0,2,2.0,6.0,1
7140,1,1.0,27,1.0,3.0,0.0,2,2.0,6.0,1
222,0,0.0,28,1.0,1.0,7.0,3,3.0,6.0,1
461,1,0.0,28,0.0,2.0,0.0,3,2.0,4.0,1
490,0,0.0,28,1.0,1.0,3.0,3,7.0,2.0,1
494,1,0.0,28,0.0,3.0,1.0,3,2.0,7.0,1
531,0,0.0,28,0.0,5.0,14.0,3,1.0,6.0,1
666,1,0.0,28,0.0,3.0,1.0,3,1.0,3.0,1
1302,1,0.0,28,1.0,5.0,1.0,3,3.0,6.0,1
1369,1,0.0,28,1.0,5.0,1.0,3,1.0,6.0,1
1434,0,0.0,28,1.0,2.0,1.0,3,3.0,6.0,1
1439,0,0.0,28,1.0,1.0,1.0,3,2.0,6.0,1
1462,0,0.0,28,0.0,4.0,0.0,3,4.0,6.0,1
1549,1,0.0,28,1.0,1.0,13.0,3,2.0,6.0,1
1693,0,0.0,28,0.0,4.0,3.0,3,7.0,4.0,1
1944,1,0.0,28,1.0,1.0,9.0,3,1.0,6.0,1
1952,1,0.0,28,0.0,3.0,9.0,3,2.0,6.0,1
2251,1,0.0,28,0.0,5.0,8.0,3,3.0,6.0,1
2521,0,0.0,28,0.0,5.0,8.0,3,5.0,2.0,1
2556,1,0.0,28,0.0,1.0,0.0,3,2.0,6.0,1
2763,0,0.0,28,0.0,8.0,0.0,3,5.0,4.0,1
3282,0,0.0,28,0.0,2.0,1.0,3,2.0,4.0,1
3320,0,0.0,28,0.0,7.0,0.0,3,1.0,2.0,1
3440,1,0.0,28,0.0,3.0,6.0,3,3.0,6.0,1
3908,0,0.0,28,1.0,1.0,1.0,3,1.0,6.0,1
3923,0,0.0,28,0.0,4.0,1.0,3,4.0,4.0,1
4255,0,0.0,28,0.0,5.0,0.0,3,5.0,3.0,1
4395,0,0.0,28,1.0,4.0,1.0,3,6.0,2.0,1
4919,0,0.0,28,0.0,1.0,1.0,3,5.0,1.0,1
5159,0,0.0,28,0.0,4.0,0.0,3,1.0,4.0,1
5441,0,0.0,28,0.0,5.0,3.0,3,4.0,6.0,1
5793,1,0.0,28,0.0,3.0,0.0,3,3.0,6.0,1
5967,1,0.0,28,1.0,1.0,0.0,3,1.0,6.0,1
5996,0,0.0,28,0.0,2.0,0.0,3,6.0,5.0,1
6383,0,0.0,28,0.0,2.0,3.0,3,2.0,6.0,1
6668,0,0.0,28,1.0,2.0,3.0,3,1.0,3.0,1
7085,1,0.0,28,0.0,5.0,1.0,3,1.0,4.0,1
7522,0,0.0,28,0.0,3.0,1.0,3,2.0,3.0,1
7532,1,0.0,28,1.0,1.0,9.0,3,2.0,6.0,1
7802,0,0.0,28,1.0,1.0,9.0,3,1.0,6.0,1
38,0,1.0,28,1.0,1.0,8.0,3,2.0,6.0,1
128,0,1.0,28,1.0,4.0,0.0,3,2.0,6.0,1
146,0,1.0,28,0.0,4.0,9.0,2,2.0,4.0,1
221,1,1.0,28,1.0,4.0,0.0,2,2.0,6.0,1
365,0,1.0,28,1.0,2.0,0.0,2,2.0,6.0,1
1107,0,1.0,28,0.0,4.0,6.0,3,3.0,6.0,1
1734,0,1.0,28,1.0,1.0,0.0,3,1.0,5.0,1
1775,1,1.0,28,0.0,7.0,0.0,3,7.0,4.0,1
2552,1,1.0,28,0.0,3.0,0.0,2,2.0,4.0,1
2800,0,1.0,28,1.0,5.0,0.0,2,2.0,2.0,1
2940,1,1.0,28,0.0,7.0,1.0,1,5.0,6.0,1
3240,1,1.0,28,0.0,5.0,8.0,3,2.0,6.0,1
3762,1,1.0,28,1.0,1.0,0.0,2,3.0,6.0,1
4122,1,1.0,28,0.0,1.0,1.0,3,2.0,6.0,1
