,Пол,Семейное_положение,Возраст,Высшее_образование,Профессия,Опыт_работы,Уровень_расходов,Размер_семьи,Анонимная_категория,Целевая_категория
0,1,0.0,22,0.0,2.0,1.0,3,4.0,4.0,4
1,0,1.0,38,1.0,4.0,,2,3.0,4.0,1
2,0,1.0,67,1.0,4.0,1.0,3,1.0,6.0,2
3,1,1.0,67,1.0,6.0,0.0,1,2.0,6.0,2
4,0,1.0,40,1.0,3.0,,1,6.0,6.0,1
5,1,1.0,56,0.0,1.0,0.0,2,2.0,6.0,3
6,1,0.0,32,1.0,2.0,1.0,3,3.0,6.0,3
7,0,0.0,33,1.0,2.0,1.0,3,3.0,6.0,4
8,0,1.0,61,1.0,4.0,0.0,3,3.0,7.0,4
9,0,1.0,55,1.0,1.0,1.0,2,4.0,6.0,3
10,0,0.0,26,1.0,4.0,1.0,3,3.0,6.0,1
11,1,0.0,19,0.0,2.0,4.0,3,4.0,4.0,4
12,0,0.0,19,0.0,7.0,0.0,3,,3.0,4
13,1,1.0,70,0.0,6.0,,3,1.0,6.0,1
14,0,1.0,58,0.0,5.0,0.0,3,1.0,3.0,2
15,0,0.0,41,0.0,2.0,1.0,3,2.0,1.0,3
16,0,0.0,32,0.0,9.0,9.0,3,5.0,3.0,4
17,1,0.0,31,0.0,2.0,1.0,3,6.0,6.0,2
18,1,1.0,58,1.0,3.0,1.0,2,4.0,6.0,2
19,0,1.0,79,1.0,1.0,0.0,1,1.0,6.0,3
20,1,1.0,49,1.0,9.0,12.0,3,1.0,3.0,1
21,0,0.0,18,0.0,2.0,3.0,3,4.0,6.0,4
22,1,1.0,33,1.0,1.0,13.0,3,2.0,3.0,1
23,0,0.0,36,1.0,1.0,5.0,3,2.0,6.0,2
24,0,,58,0.0,7.0,1.0,2,3.0,3.0,2
25,1,1.0,56,0.0,1.0,1.0,2,3.0,6.0,3
26,1,0.0,31,0.0,2.0,9.0,3,8.0,4.0,1
27,1,1.0,49,1.0,1.0,1.0,2,3.0,6.0,3
28,1,0.0,35,1.0,1.0,0.0,3,1.0,6.0,2
29,0,0.0,35,0.0,1.0,5.0,3,4.0,6.0,3
30,0,1.0,45,1.0,1.0,0.0,3,3.0,6.0,3
31,0,1.0,42,0.0,5.0,1.0,3,2.0,4.0,1
32,1,0.0,19,0.0,2.0,1.0,3,3.0,2.0,4
33,1,0.0,26,0.0,9.0,9.0,3,,6.0,4
34,0,1.0,83,0.0,6.0,1.0,1,2.0,6.0,4
35,0,0.0,27,1.0,2.0,3.0,3,4.0,1.0,4
36,1,0.0,32,0.0,5.0,5.0,3,1.0,4.0,4
37,0,1.0,28,0.0,2.0,1.0,2,5.0,3.0,4
38,0,1.0,28,1.0,1.0,8.0,3,2.0,6.0,1
39,1,1.0,56,1.0,1.0,,2,2.0,6.0,3
40,0,0.0,47,1.0,1.0,4.0,3,1.0,6.0,2
41,0,0.0,22,0.0,2.0,0.0,3,2.0,6.0,4
42,0,0.0,27,1.0,1.0,14.0,3,3.0,6.0,1
43,0,1.0,49,1.0,1.0,1.0,3,2.0,,3
44,1,1.0,40,0.0,4.0,8.0,3,1.0,6.0,1
45,0,1.0,79,0.0,6.0,,1,2.0,6.0,1
46,1,1.0,41,1.0,1.0,0.0,2,4.0,4.0,2
47,0,0.0,29,1.0,2.0,,3,1.0,7.0,1
48,1,0.0,19,0.0,2.0,0.0,3,4.0,6.0,4
49,0,0.0,45,1.0,4.0,1.0,3,1.0,6.0,1
50,0,1.0,61,0.0,1.0,1.0,2,2.0,2.0,2
51,0,1.0,36,1.0,1.0,1.0,2,2.0,6.0,3
52,1,1.0,40,1.0,1.0,1.0,3,1.0,3.0,1
53,0,1.0,57,1.0,3.0,0.0,2,2.0,6.0,3
54,1,1.0,76,0.0,8.0,1.0,3,1.0,4.0,1
55,1,1.0,32,1.0,1.0,14.0,2,2.0,6.0,2
56,1,0.0,25,1.0,2.0,9.0,3,4.0,6.0,4
57,1,0.0,32,,5.0,8.0,3,2.0,6.0,4
58,0,1.0,45,1.0,1.0,1.0,2,3.0,3.0,3
59,1,1.0,72,1.0,6.0,1.0,3,,4.0,4
60,1,1.0,48,1.0,1.0,0.0,2,2.0,6.0,3
61,1,1.0,55,1.0,1.0,9.0,2,2.0,1.0,3
62,1,1.0,74,1.0,6.0,0.0,1,3.0,6.0,4
63,1,1.0,56,1.0,6.0,1.0,1,2.0,6.0,1
64,1,1.0,59,1.0,6.0,7.0,1,2.0,6.0,1
65,1,0.0,25,1.0,3.0,0.0,3,2.0,6.0,1
66,1,1.0,31,1.0,5.0,0.0,2,2.0,6.0,1
67,1,0.0,27,0.0,1.0,8.0,3,4.0,6.0,1
68,1,1.0,57,1.0,1.0,0.0,2,4.0,6.0,2
69,0,1.0,39,1.0,9.0,,1,2.0,6.0,1
70,1,1.0,27,1.0,2.0,8.0,3,2.0,6.0,4
71,0,1.0,51,1.0,3.0,8.0,2,2.0,6.0,1
72,0,1.0,47,0.0,1.0,0.0,2,5.0,6.0,2
73,0,0.0,33,0.0,2.0,8.0,3,4.0,6.0,4
74,1,1.0,56,1.0,1.0,0.0,2,4.0,6.0,3
75,0,0.0,33,0.0,9.0,0.0,3,3.0,6.0,2
76,0,0.0,36,1.0,5.0,0.0,3,2.0,6.0,4
77,1,1.0,51,0.0,1.0,4.0,3,3.0,4.0,1
78,1,1.0,45,1.0,4.0,2.0,2,2.0,6.0,3
79,0,0.0,49,1.0,,1.0,3,1.0,6.0,4
80,1,0.0,30,0.0,2.0,0.0,3,4.0,6.0,3
81,0,0.0,26,0.0,2.0,6.0,3,3.0,5.0,4
82,1,1.0,63,1.0,1.0,8.0,3,1.0,6.0,1
83,1,1.0,35,0.0,3.0,8.0,2,4.0,3.0,2
84,0,0.0,19,0.0,8.0,1.0,3,3.0,4.0,1
85,1,0.0,32,0.0,2.0,7.0,3,5.0,6.0,4
86,1,1.0,52,1.0,1.0,0.0,2,3.0,6.0,3
87,0,1.0,36,1.0,1.0,5.0,3,2.0,6.0,3
88,0,0.0,42,0.0,3.0,7.0,3,3.0,4.0,4
89,1,1.0,40,0.0,5.0,0.0,2,2.0,3.0,4
90,1,0.0,39,1.0,3.0,0.0,3,3.0,1.0,2
91,0,1.0,47,1.0,1.0,1.0,2,4.0,3.0,3
92,0,1.0,61,1.0,1.0,1.0,1,2.0,6.0,3
93,1,1.0,32,0.0,3.0,1.0,3,2.0,3.0,4
94,1,1.0,55,0.0,1.0,0.0,3,1.0,6.0,2
95,1,1.0,58,1.0,1.0,,2,1.0,6.0,4
96,0,0.0,38,1.0,1.0,0.0,3,1.0,6.0,4
97,1,1.0,63,1.0,1.0,0.0,1,2.0,6.0,3
98,1,1.0,58,1.0,5.0,1.0,2,2.0,6.0,3
99,1,1.0,30,0.0,4.0,3.0,2,3.0,4.0,4
100,1,1.0,60,1.0,1.0,0.0,2,4.0,6.0,3
101,1,1.0,68,0.0,7.0,1.0,1,7.0,6.0,2
102,1,1.0,52,0.0,1.0,0.0,3,3.0,4.0,1
103,1,1.0,38,0.0,7.0,0.0,1,5.0,6.0,1
104,0,1.0,35,1.0,2.0,10.0,3,2.0,6.0,2
105,1,0.0,18,0.0,5.0,1.0,3,2.0,6.0,4
106,1,1.0,30,1.0,9.0,3.0,3,2.0,1.0,4
107,1,0.0,86,0.0,6.0,1.0,3,1.0,6.0,4
108,0,,19,0.0,2.0,6.0,3,5.0,3.0,4
109,1,0.0,25,0.0,2.0,9.0,3,3.0,6.0,4
110,1,1.0,59,1.0,3.0,,3,4.0,4.0,1
111,0,0.0,39,1.0,1.0,0.0,3,1.0,6.0,1
112,0,1.0,50,1.0,5.0,1.0,3,,6.0,2
113,1,0.0,47,1.0,1.0,1.0,3,1.0,6.0,3
114,1,1.0,43,1.0,7.0,0.0,1,3.0,6.0,4
115,1,1.0,36,0.0,7.0,8.0,2,4.0,1.0,2
116,1,1.0,80,0.0,6.0,1.0,3,1.0,6.0,4
117,1,0.0,36,1.0,1.0,0.0,3,2.0,2.0,3
118,1,0.0,27,0.0,,2.0,3,7.0,4.0,4
119,0,1.0,37,1.0,1.0,1.0,1,2.0,7.0,1
120,1,1.0,46,1.0,7.0,0.0,1,3.0,6.0,3
121,1,1.0,55,0.0,7.0,1.0,1,4.0,3.0,2
122,0,1.0,47,0.0,4.0,9.0,2,4.0,4.0,2
123,0,0.0,28,1.0,2.0,1.0,3,3.0,3.0,4
124,1,1.0,39,0.0,3.0,9.0,3,2.0,3.0,4
125,0,1.0,27,0.0,8.0,1.0,3,2.0,6.0,1
126,0,1.0,42,0.0,4.0,0.0,3,,6.0,1
127,1,1.0,72,1.0,1.0,0.0,2,2.0,6.0,3
128,0,1.0,28,1.0,4.0,0.0,3,2.0,6.0,1
129,1,0.0,35,1.0,3.0,8.0,3,5.0,6.0,3
130,1,1.0,39,1.0,7.0,9.0,1,5.0,2.0,1
131,0,1.0,69,1.0,6.0,0.0,1,2.0,6.0,3
132,1,0.0,18,0.0,2.0,6.0,3,4.0,4.0,4
133,1,1.0,46,1.0,1.0,,3,1.0,6.0,1
134,0,1.0,50,1.0,4.0,1.0,1,2.0,4.0,2
135,1,0.0,30,0.0,7.0,5.0,3,5.0,6.0,1
136,0,0.0,41,0.0,1.0,,3,2.0,6.0,2
137,0,0.0,39,1.0,1.0,3.0,3,4.0,6.0,4
138,0,0.0,29,0.0,8.0,8.0,3,4.0,6.0,4
139,0,1.0,37,1.0,1.0,4.0,3,4.0,5.0,2
140,0,1.0,39,1.0,4.0,0.0,2,2.0,6.0,1
141,0,1.0,48,1.0,1.0,0.0,2,5.0,7.0,3
142,0,0.0,32,1.0,5.0,0.0,3,3.0,6.0,3
143,1,1.0,78,0.0,6.0,1.0,3,,6.0,2
144,0,1.0,43,0.0,4.0,0.0,2,5.0,4.0,2
145,1,0.0,29,0.0,8.0,8.0,3,5.0,6.0,3
146,0,1.0,28,0.0,4.0,9.0,2,2.0,4.0,1
147,1,1.0,80,1.0,6.0,1.0,3,1.0,6.0,2
148,0,0.0,28,1.0,2.0,7.0,3,4.0,6.0,4
149,1,1.0,71,1.0,1.0,6.0,2,3.0,6.0,3
150,1,1.0,67,0.0,6.0,0.0,1,9.0,4.0,1
151,0,0.0,26,0.0,4.0,0.0,3,1.0,2.0,1
152,0,1.0,47,1.0,4.0,0.0,2,2.0,6.0,3
153,0,1.0,43,1.0,1.0,2.0,2,2.0,6.0,2
154,0,0.0,27,1.0,2.0,0.0,3,4.0,6.0,3
155,0,1.0,45,1.0,8.0,8.0,3,4.0,6.0,4
156,1,1.0,76,0.0,7.0,1.0,3,1.0,6.0,3
157,0,1.0,43,1.0,1.0,3.0,2,4.0,6.0,3
158,0,1.0,78,1.0,6.0,1.0,1,2.0,6.0,2
159,1,1.0,35,1.0,1.0,3.0,2,3.0,6.0,3
160,0,0.0,49,1.0,1.0,1.0,3,1.0,6.0,3
161,0,0.0,25,1.0,2.0,1.0,3,5.0,6.0,4
162,1,1.0,37,0.0,7.0,0.0,2,5.0,6.0,1
163,0,0.0,32,0.0,2.0,1.0,3,5.0,,3
164,1,1.0,60,1.0,5.0,0.0,2,2.0,6.0,3
165,0,1.0,45,1.0,1.0,5.0,2,3.0,6.0,3
166,0,1.0,49,1.0,9.0,9.0,2,3.0,6.0,3
167,1,0.0,32,1.0,1.0,0.0,3,5.0,6.0,4
168,0,1.0,40,1.0,1.0,0.0,3,3.0,3.0,2
169,1,1.0,59,0.0,1.0,2.0,2,2.0,4.0,3
170,1,1.0,48,1.0,1.0,3.0,3,5.0,6.0,2
171,1,1.0,82,1.0,7.0,0.0,1,2.0,6.0,3
172,0,1.0,70,1.0,6.0,0.0,3,2.0,6.0,2
173,1,0.0,31,1.0,1.0,5.0,3,2.0,6.0,2
174,0,1.0,72,1.0,6.0,0.0,1,2.0,6.0,3
175,1,1.0,50,1.0,1.0,3.0,2,4.0,6.0,3
176,0,0.0,23,0.0,4.0,11.0,3,1.0,3.0,4
177,0,0.0,20,0.0,2.0,2.0,3,6.0,6.0,4
178,0,0.0,22,0.0,2.0,4.0,3,3.0,6.0,4
179,0,0.0,31,1.0,4.0,8.0,3,1.0,6.0,1
180,0,1.0,36,1.0,1.0,7.0,2,2.0,6.0,3
181,1,1.0,52,0.0,3.0,,2,5.0,4.0,2
182,0,0.0,29,1.0,1.0,,3,1.0,4.0,2
183,1,1.0,40,1.0,1.0,4.0,2,4.0,6.0,3
184,0,0.0,40,1.0,1.0,1.0,3,1.0,6.0,1
185,1,1.0,38,1.0,1.0,,3,2.0,6.0,3
186,0,1.0,85,0.0,6.0,,3,,,1
187,0,0.0,21,0.0,5.0,1.0,3,3.0,7.0,1
188,0,1.0,41,0.0,4.0,4.0,2,2.0,6.0,4
189,1,1.0,40,1.0,1.0,0.0,3,2.0,6.0,2
190,1,1.0,53,1.0,1.0,1.0,2,3.0,6.0,2
191,0,1.0,42,1.0,1.0,5.0,3,2.0,6.0,3
192,1,1.0,42,0.0,7.0,8.0,3,2.0,6.0,4
193,1,1.0,48,1.0,1.0,,2,4.0,7.0,3
194,1,1.0,59,1.0,1.0,7.0,3,2.0,6.0,3
195,1,1.0,41,1.0,7.0,1.0,2,3.0,6.0,1
196,0,1.0,31,1.0,1.0,0.0,2,2.0,6.0,1
197,0,1.0,49,1.0,1.0,1.0,1,5.0,6.0,2
198,1,1.0,67,1.0,7.0,1.0,3,2.0,6.0,1
199,1,1.0,35,0.0,1.0,4.0,2,2.0,6.0,2
200,0,0.0,26,1.0,2.0,0.0,3,3.0,6.0,3
201,1,,19,0.0,2.0,9.0,3,3.0,3.0,4
202,0,1.0,25,0.0,4.0,6.0,2,8.0,4.0,4
203,0,1.0,39,1.0,2.0,4.0,3,2.0,6.0,1
204,1,1.0,63,1.0,3.0,0.0,3,2.0,6.0,1
205,1,0.0,23,0.0,2.0,8.0,3,3.0,6.0,4
206,0,0.0,23,0.0,2.0,0.0,3,3.0,3.0,4
207,0,1.0,53,1.0,1.0,2.0,3,1.0,6.0,3
208,1,0.0,33,1.0,5.0,0.0,3,2.0,6.0,2
209,0,1.0,50,0.0,4.0,,2,4.0,2.0,2
210,0,1.0,69,1.0,4.0,0.0,3,2.0,4.0,2
211,1,0.0,37,1.0,1.0,2.0,3,1.0,6.0,2
212,0,0.0,20,0.0,8.0,3.0,3,4.0,7.0,3
213,0,,85,0.0,6.0,0.0,1,1.0,3.0,3
214,0,1.0,49,1.0,5.0,1.0,2,4.0,6.0,3
215,1,0.0,18,0.0,2.0,0.0,3,3.0,3.0,4
